Average entropy for each pages posts controlling for date:
            name            | gender |          avg           
 Matt Lieberman             | M      | 0.72732241195510352790
 Abby Broyles               | F      | 0.73184781341588366253
 Kelly Loeffler             | F      | 0.73220922984557115446
 Roy Moore                  | M      | 0.73687165960893381820
 Jason Lewis                | M      | 0.73760397270914357992
 Jess Scarane               | F      | 0.73774337061142307873
 Jon Ossoff                 | M      | 0.74009960733452436707
 Tina Smith                 | F      | 0.74327818897463012955
 Sarah Riggs Amico          | F      | 0.74342797294141524120
 Jim Inhofe                 | M      | 0.74727938232387102850
 Cristina Tzintzún Ramirez  | F      | 0.75125994430068413055
 Amy McGrath                | F      | 0.75855676696813550189
 James Mackler              | M      | 0.76177299404151529951
 Paula Jean Swearengin      | F      | 0.76190870916085773875
 Mike Workman               | M      | 0.76538222309108521667
 Wesley Morgan              | M      | 0.77923247298135595175
 Thom Tillis                | M      | 0.78107365775380578163
 Jaime Harrison             | M      | 0.78179645085564401803
 Steve Daines               | M      | 0.78835857859305322773
 Jeff Sessions              | M      | 0.79444363285858920144
 Betsy Sweet                | F      | 0.79643830302830147264
 Joni Ernst                 | F      | 0.79832215957234017657
 Erica D. Smith             | F      | 0.80375094408485203603
 Teresa Tomlinson           | F      | 0.80828661584500250186
 Paul Wright                | M      | 0.81127812445913280000
 Peggy Hubbard              | F      | 0.81702370606774593497
 Raphael Warnock            | M      | 0.81907251449863460000
 Lorena Garcia              | F      | 0.82136490113351943542
 Stephany Rose Spaulding    | F      | 0.82205232136508889000
 Eddie Mauro                | M      | 0.82226061831784612346
 Mick Rich                  | M      | 0.82613734473674723563
 Alisha Shelton             | F      | 0.83120041205517838385
 Martha McSally             | F      | 0.83793597201768375682
 Elisa Martinez             | F      | 0.83828618610793051567
 Ed Markey                  | M      | 0.83867456912400396947
 Elysabeth Britt            | F      | 0.87165125956804358571
 Shelley Moore Capito       | F      | 0.87252546542096235088
 David Weikle               | M      | 0.87608443862436684065
 David Perdue               | M      | 0.88106606892778920010
 Joe Kennedy III            | M      | 0.88954347029491466125
 Trish Zornio               | F      | 0.90887671396769990053
 Charles Booker             | M      | 0.92611668127568738203
 Tom Cotton                 | M      | 0.94493688271758052590
 Ben Sasse                  | M      | 0.94748864476285941769
 Bill Cassidy               | M      | 0.94834728396777379478
 Sema Hernandez             | F      | 0.95035206761275648987
 Nancy Harris               | F      | 0.95176570797769902613
 Doug Collins               | M      | 0.95597613069933410412
 Bre Kidman                 | F      | 0.96049614765001901677
 Susan Collins              | F      | 0.96244907176550876650
 Ben Ray Luján              | M      | 0.97661402792382591038
 Richard Ojeda              | M      | 0.98696068476088823990
 Gary Peters                | M      | 1.00002592307351960525
 Wilmot Collins             | M      | 1.00043296845517772760
 Gavin Clarkson             | M      |    1.00792705523253209
 John Hickenlooper          | M      |    1.00917763259920471
 Chris Coons                | M      |    1.03385496291567749
 Jeff Merkley               | M      |    1.03798699482585055
 Cory Booker                | M      |    1.05565075338095006
 Lindsey Graham             | M      |     1.0802327156791359
 John Cornyn                | M      |    1.08682932189656248
 Dick Durbin                | M      |    1.14058801647234738
 Mitch McConnell            | M      |     1.3625390398794314
 Craig Brittain             | M      |     1.3652934019310268
 Mark Turley                | M      |                       
 Ricardo Turullols-Bonilla  | M      |                       
 Naren James                | M      |                       
 Tom Emerson Jr.            | M      |                       
(193 rows)


Average entropy for each pages posts controlling for minimum reactions:
            name            | gender |          avg           
----------------------------+--------+------------------------
 Glen L. Neal, Jr.          | M      | 0.00000000000000000000
 Matt Innis                 | M      | 0.35669672177147297140
 Kevin O'Connor             | M      | 0.36164460126094608500
 Rik Mehta                  | M      | 0.38197921807122927449
 Michael Franken            | M      | 0.38485766525944570648
 Merav Ben-David            | F      | 0.38611782257203200469
 Doc Bolduc                 | M      | 0.40031160914343654743
 Aaron Pettigrew            | M      | 0.40799802025295335000
 Tom Tarter                 | M      | 0.43782088622943446273
 Natalie Rivera             | F      | 0.44052818180573713333
 Linda Wooten               | F      | 0.47930391403844720000
 Ross LaJeunesse            | M      | 0.48855274859843019258
 Mark Curran                | M      | 0.49028182445212739956
 Johnny Presley             | M      | 0.49810752153740091569
 Jon Henry                  | M      | 0.51395045990335236667
 Rob Barrett Jr.            | M      | 0.52133475350525356316
 Corky Messner              | M      | 0.52204382370016450045
 Arnold Mooney              | M      | 0.53236849989884324500
 Royce West                 | M      | 0.53334856953675337163
 Casey Chlebek              | M      | 0.54048724527883121200
 Jo Rae Perkins             | F      | 0.54685505745982300000
 Daniel Burke               | M      | 0.55057737620203886667
 Al Gross                   | M      | 0.55658508840367637805
 Duke Buckner               | M      | 0.56416219172687741769
 Tommy Tuberville           | M      | 0.56466001942764542648
