Name,Gender,Page Name,Page URL,Election,Party,Incumbent Status,Challenged in Primary,Challenged in General,Posts Collected,Notes,
Steve Swenson,M,Steve Swenson for US Senate,Steve-Swenson-for-US-Senate-104235764418891,North Carolina,Democratic,0,Yes,Yes,,,
Thom Tillis,M,Thom Tillis,ThomTillis,North Carolina,Republican,6,Yes,Yes,,,
Paul Wright,M,Paul Wright for Senate,paulwrightforsenate,North Carolina,Republican,0,Yes,Yes,,,
Chris Bell,M,Chris Bell for US Senate,ChrisBellForSenate/?__tn__=%2Cd%2CP-R&eid=ARAgrmO5uBhLWCbqb-6ugdclDG3mE4koolu0KpeC9P5Avti_rmnWrKrijs_mbdrUZmJ4DbPS409_kCYQ,Texas,Democratic,0,Yes,Yes,,,
Virgil Bierschwale,,n/a,n/a,Texas,Republican,0,Yes,Yes,,,
John Anthony Castro,M,John Anthony Castro,drjohnanthonycastro,Texas,Republican,0,Yes,Yes,,,
Michael K. Cooper,M,Michael Cooper,Vote4CooperTexas,Texas,Democratic,0,Yes,Yes,,,
John Cornyn,M,John Cornyn,johncornyn,Texas,Republican,18,Yes,Yes,,,
Amanda Edwards,F,Amanda Edwards For Texas,amandafortexas,Texas,Democratic,0,Yes,Yes,,,
"Jack Daniel Foster, Jr.",,n/a,n/a,Texas,Democratic,0,Yes,Yes,,,
"Annie ""Mama"" Garcia",F,"Annie ""Mamá"" Garcia for U.S. Senate",RunAnnieRun,Texas,Democratic,0,Yes,Yes,,,
Victor Hugo Harris,M,Victor Harris for U.S. Senate,Victorfortexas,Texas,Democratic,0,Yes,Yes,,,
Mary Jennings Hegar,F,MJ for Texas,MJforTexas,Texas,Democratic,0,Yes,Yes,,,
Sema Hernandez,F,Sema Hernandez for U.S. Senate,SemaForTexas,Texas,Democratic,0,Yes,Yes,,,
D. R. Hunter,,n/a,n/a,Texas,Democratic,0,Yes,Yes,,,
Kerry McKennon,M,McKennon 2020,McKennon2020,Texas,Libertarian,0,No,Yes,,,
Adrian Ocegueda,M,TexasReason,TexasReason,Texas,Democratic,0,Yes,Yes,,,
Dwayne Stovall,M,Texans For Stovall,TexansForStovall,Texas,Republican,0,Yes,Yes,,,
Cristina Tzintzún Ramirez ,F,Cristina Tzintzun Ramirez,TzintzunCris,Texas,Democratic,0,Yes,Yes,,,
Royce West,M,Royce West,RoyceWestTX,Texas,Democratic,0,Yes,Yes,,,
Mark Yancey,,,n/a,Texas,Republican,0,Yes,Yes,,page deactivated after election rip votemarkyancey,
Ricardo Turullols-Bonilla,M,Ric 4 Senate Tx,Ric4SenateTx,Texas,Independant,0,No,Yes,,,
Joni Ernst,F,Joni Ernst,joniforiowa,Iowa,Republican,6,Yes,Yes,,,
Paul Rieck,,,,Iowa,Republican,0,Yes,Yes,,Group page,
Michael Franken,M,Mike Franken,FrankenforIowa,Iowa,Democrat,0,Yes,Yes,,,
Kimberly Graham,F,Kimberly Graham for US Senate - Iowa,kimberlyforiowa,Iowa,Democrat,0,Yes,Yes,,,
Theresa Greenfield,F,Theresa Greenfield,GreenfieldForIowa,Iowa,Democrat,0,Yes,Yes,,,
Eddie Mauro,M,Eddie J. Mauro,eddiejmauro,Iowa,Democrat,0,Yes,Yes,,,
Cal Woods,,n/a,n/a,Iowa,Democrat,0,Yes,Yes,,,
Tobey Bernard Bartee,M,(see notes),,Mississippi,Democrat,0,Yes,Yes,,Personal Page,
Jensen Bohren,M,"Jensen Bohren, Southern Progressive",vote4jensen,Mississippi,Democrat,0,Yes,Yes,,,
Jimmy Edwards,,n/a,n/a,Mississippi,Libertarian,0,No,Yes,,,
Mike Espy,M,(see notes),,Mississippi,Democrat,0,Yes,Yes,,Group page,
Cindy Hyde-Smith,F,Cindy Hyde-Smith,CindyHydeSmithMS,Mississippi,Republican,3,No,Yes,,,
Nicholas Alsager ,,n/a,n/a,Kentucky,Republican,0,Yes,Yes,,,
Jimmy Ausbrooks,M,Jimmy Ausbrooks For U.S Senate,AusbrooksforSenate,Kentucky,Democrat,0,Yes,Yes,,"found 2 pages, think i put down the right one",
Charles Booker,M,Charles Booker,Booker4KY,Kentucky,Democrat,0,Yes,Yes,,,
Mike Broihier,M,Mike Broihier for Kentucky,mikebroihierky,Kentucky,Democrat,0,Yes,Yes,,,
Wendell K. Crow,,n/a,n/a,Kentucky,Republican,0,Yes,Yes,,,
Paul John Frangedakis,M,Dr. Paul John Frangedakis DC For Kentucky United States Senate,DOCPAULKENTUCKYUSSENATE2020,Kentucky,Republican,0,Yes,Yes,,using buisness fb page also for candidacy,
Louis Grider,M,Louis Grider for Senate,louisgriderforsenate,Kentucky,Republican,0,Yes,Yes,,,
Maggie Jo Hillard,F,Elect MoJo 2020:Revolution Bluegrass,electmojo,Kentucky,Democrat,0,Yes,Yes,,,
Naren James,M,"Naren James, M.D for US Senate",JamesUSSenate,Kentucky,Republican,0,Yes,Yes,,,
Kenneth Lowndes,,n/a,n/a,Kentucky,Republican,0,Yes,Yes,,,
Andrew Maynard,,n/a,n/a,Kentucky,Democrat,0,Yes,Yes,,,
Mitch McConnell ,M,Mitch McConnell,McConnellForSenate,Kentucky,Republican,36,Yes,Yes,,,
Amy McGrath,F,Amy McGrath,AmyMcGrathKY,Kentucky,Democrat,0,Yes,Yes,,,
Wesley Morgan,M,Wesley Morgan,MorganForSenate2020,Kentucky,Republican,0,Yes,Yes,,,
Eric Rothmuller,M,Eric Rothmuller,ericrothmuller,Kentucky,Democrat,0,Yes,Yes,,,
John Sharpensteen,,n/a,n/a,Kentucky,Democrat,0,Yes,Yes,,,
Bennie J. Smith,M,Bennie J. Smith D-KY 4 US Senator 2020,BJSMITH4US20,Kentucky,Democrat,0,Yes,Yes,,,
Mary Ann Tobin ,,n/a,n/a,Kentucky,Democrat,0,Yes,Yes,,,
Richard Ojeda,M,Richard Ojeda,RichardOjeda2020,West Virginia,Democrat,0,Yes,Yes,,,
Richie Robb,,n/a,n/a,West Virginia,Democrat,0,Yes,Yes,,,
Paula Jean Swearengin,F,Paula Jean Swearengin,PaulaJean2020,West Virginia,Democrat,0,Yes,Yes,,,
Shelley Moore Capito,F,Shelley Moore Capito,ShelleyMooreCapitoForWestVirginia,West Virginia,Republican,6,Yes,Yes,,,
Larry Butcher,,n/a,n/a,West Virginia,Republican,0,Yes,Yes,,,
Allen Whitt,M,Allen Whitt for U.S. Senate,whitt4wv,West Virginia,Republican,0,Yes,Yes,,,
Jim Risch,M,Jim Risch,SenatorRisch,Idaho,Republican,12,No,Yes,,,
Ray Writz,,n/a,n/a,Idaho,Constitution,0,No,Yes,,,
Nancy Harris,F,Nancy Harris for US Senate,NancyHarrisforSenate,Idaho,Democrat,0,Yes,Yes,,,
Travis Oler,M,Travis Oler,TravisOler4Senate,Idaho,Democrat,0,Yes,Yes,,,
James Vandermaas,M,(see notes),,Idaho,Democrat,0,Yes,Yes,,Personal Page,
Barbara Bollier,F,Barbara Bollier,BarbaraBollierForKansas,Kansas ,Democrat,0,Yes,Yes,,,
Usha Reddi,F,Usha Reddi for Senate,ReddiForSenate,Kansas ,Democrat,0,Yes,Yes,,,
Adam Smith,,n/a,n/a,Kansas ,Democrat,0,Yes,Yes,,,
Robert Tillman,,n/a,n/a,Kansas ,Democrat,0,Yes,Yes,,,
Kris Kobach,M,Kris Kobach,KrisKobach1787,Kansas ,Republican,0,Yes,Yes,,,
Dave Lindstrom,M,Dave Lindstrom,LindstromforKS,Kansas ,Republican,0,Yes,Yes,,,
Roger Marshall,M,Dr. Roger Marshall,DrRogerMarshall,Kansas ,Republican,0,Yes,Yes,,,
